experiment,dataset,model,total_debates,valid_predictions,no_decision_count,no_decision_rate,accuracy,precision,recall,f1,tp,fp,tn,fn,mean_confidence,std_confidence,n_accurate
transcripts_ver26_compas_20260209-114748,compas,gpt_4o_mini,1,1,0,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,1,65.0000,0.0000,0
transcripts_ver26_compas_20260209-124320,compas,gemini_gemini_2_5_flash,150,145,5,0.0333,0.7448,0.6875,0.8209,0.7483,55,25,53,12,80.5379,11.3265,108
transcripts_ver26_compas_20260209-124320,compas,gpt_4_1_mini,150,150,0,0.0000,0.7733,0.8333,0.6429,0.7258,45,9,71,25,78.6333,10.3585,116
transcripts_ver26_compas_20260209-124320,compas,gpt_4o_mini,150,149,1,0.0067,0.7785,0.8333,0.6522,0.7317,45,9,71,24,78.7919,6.5449,116
transcripts_ver26_compas_20260209-124320,compas,xai_grok_4_1_fast_non_reasoning_latest,150,150,0,0.0000,0.7467,0.7500,0.6857,0.7164,48,16,64,22,74.1467,11.1477,112
transcripts_ver26_compas_20260209-161924,compas,openrouter_allenai_olmo_2_0325_32b_instruct,150,150,0,0.0000,0.7400,0.7818,0.6143,0.6880,43,12,68,27,79.1000,10.4095,111
transcripts_ver26_compas_20260209-161924,compas,openrouter_cognitivecomputations_dolphin3_0_mistral_24b,150,0,150,1.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,,,0
transcripts_ver26_compas_20260209-161924,compas,openrouter_cohere_aya_expanse_8b,150,0,150,1.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,,,0
transcripts_ver26_compas_20260209-161924,compas,openrouter_deepseek_deepseek_r1_distill_llama_8b,150,0,150,1.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,,,0
transcripts_ver26_compas_20260209-161924,compas,openrouter_google_gemma_2_9b_it,150,128,22,0.1467,0.7812,0.8140,0.6364,0.7143,35,8,65,20,71.3281,6.6287,100
transcripts_ver26_compas_20260209-161924,compas,openrouter_meta_llama_llama_3_1_8b_instruct,150,150,0,0.0000,0.7400,0.6914,0.8000,0.7417,56,25,55,14,76.5467,8.1138,111
transcripts_ver26_compas_20260209-161924,compas,openrouter_microsoft_phi_4,150,150,0,0.0000,0.6467,0.7931,0.3286,0.4646,23,6,74,47,76.9200,7.0385,97
transcripts_ver26_compas_20260209-161924,compas,openrouter_mistralai_mistral_7b_instruct,150,149,1,0.0067,0.7047,0.7500,0.5571,0.6393,39,13,66,31,78.7785,10.6329,105
transcripts_ver26_compas_20260209-161924,compas,openrouter_nousresearch_hermes_3_llama_3_1_8b,150,0,150,1.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,,,0
transcripts_ver26_compas_20260209-161924,compas,openrouter_qwen_qwen_2_5_7b_instruct,150,150,0,0.0000,0.7333,0.8409,0.5286,0.6491,37,7,73,33,74.3000,10.3284,110
transcripts_ver26_nlsy97_20260209-124319,nlsy97,gemini_gemini_2_5_flash,145,135,10,0.0690,0.4667,0.3000,0.6000,0.4000,24,56,39,16,73.2741,6.1215,63
transcripts_ver26_nlsy97_20260209-124319,nlsy97,gpt_4_1_mini,145,145,0,0.0000,0.5034,0.3200,0.5333,0.4000,24,51,49,21,69.5172,4.4071,73
transcripts_ver26_nlsy97_20260209-124319,nlsy97,gpt_4o_mini,145,145,0,0.0000,0.6828,0.4878,0.4444,0.4651,20,21,79,25,73.8276,2.8171,99
transcripts_ver26_nlsy97_20260209-124319,nlsy97,xai_grok_4_1_fast_non_reasoning_latest,145,145,0,0.0000,0.4207,0.3304,0.8444,0.4750,38,77,23,7,66.7931,4.3895,61
transcripts_ver26_nlsy97_20260209-161924,nlsy97,openrouter_allenai_olmo_2_0325_32b_instruct,145,145,0,0.0000,0.4414,0.3125,0.6667,0.4255,30,66,34,15,75.8138,8.6255,64
transcripts_ver26_nlsy97_20260209-161924,nlsy97,openrouter_cognitivecomputations_dolphin3_0_mistral_24b,145,0,145,1.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,,,0
transcripts_ver26_nlsy97_20260209-161924,nlsy97,openrouter_cohere_aya_expanse_8b,145,0,145,1.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,,,0
transcripts_ver26_nlsy97_20260209-161924,nlsy97,openrouter_deepseek_deepseek_r1_distill_llama_8b,145,0,145,1.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,,,0
transcripts_ver26_nlsy97_20260209-161924,nlsy97,openrouter_google_gemma_2_9b_it,145,133,12,0.0828,0.6992,0.5000,0.5750,0.5349,23,23,70,17,65.1504,4.4612,93
transcripts_ver26_nlsy97_20260209-161924,nlsy97,openrouter_meta_llama_llama_3_1_8b_instruct,145,145,0,0.0000,0.5517,0.3889,0.7778,0.5185,35,55,45,10,72.6897,7.6199,80
transcripts_ver26_nlsy97_20260209-161924,nlsy97,openrouter_microsoft_phi_4,145,145,0,0.0000,0.6897,0.5000,0.3556,0.4156,16,16,84,29,75.0000,4.0684,100
transcripts_ver26_nlsy97_20260209-161924,nlsy97,openrouter_mistralai_mistral_7b_instruct,145,144,1,0.0069,0.5903,0.4028,0.6444,0.4957,29,43,56,16,73.3264,5.8176,85
transcripts_ver26_nlsy97_20260209-161924,nlsy97,openrouter_nousresearch_hermes_3_llama_3_1_8b,145,0,145,1.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,,,0
transcripts_ver26_nlsy97_20260209-161924,nlsy97,openrouter_qwen_qwen_2_5_7b_instruct,145,145,0,0.0000,0.7034,0.6667,0.0889,0.1569,4,2,98,41,73.3517,5.9301,102
