model,nlsy97_acc,nlsy97_f1,nlsy97_prec,nlsy97_rec,nlsy97_n,compas_acc,compas_f1,compas_prec,compas_rec,compas_n,delta_acc,delta_f1
gemini_gemini_2_5_flash,0.4667,0.4000,0.3000,0.6000,135,0.7448,0.7483,0.6875,0.8209,145,0.2782,0.3483
gpt_4_1_mini,0.5034,0.4000,0.3200,0.5333,145,0.7733,0.7258,0.8333,0.6429,150,0.2699,0.3258
gpt_4o_mini,0.6828,0.4651,0.4878,0.4444,145,0.7733,0.7258,0.8333,0.6429,150,0.0906,0.2607
openrouter_allenai_olmo_2_0325_32b_instruct,0.4414,0.4255,0.3125,0.6667,145,0.7400,0.6880,0.7818,0.6143,150,0.2986,0.2625
openrouter_cognitivecomputations_dolphin3_0_mistral_24b,0.0000,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0.0000,0,0.0000,0.0000
openrouter_cohere_aya_expanse_8b,0.0000,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0.0000,0,0.0000,0.0000
openrouter_deepseek_deepseek_r1_distill_llama_8b,0.0000,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0.0000,0,0.0000,0.0000
openrouter_google_gemma_2_9b_it,0.6992,0.5349,0.5000,0.5750,133,0.7812,0.7143,0.8140,0.6364,128,0.0820,0.1794
openrouter_meta_llama_llama_3_1_8b_instruct,0.5517,0.5185,0.3889,0.7778,145,0.7400,0.7417,0.6914,0.8000,150,0.1883,0.2232
openrouter_microsoft_phi_4,0.6897,0.4156,0.5000,0.3556,145,0.6467,0.4646,0.7931,0.3286,150,-0.0430,0.0491
openrouter_mistralai_mistral_7b_instruct,0.5903,0.4957,0.4028,0.6444,144,0.7047,0.6393,0.7500,0.5571,149,0.1144,0.1436
openrouter_nousresearch_hermes_3_llama_3_1_8b,0.0000,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0.0000,0,0.0000,0.0000
openrouter_qwen_qwen_2_5_7b_instruct,0.7034,0.1569,0.6667,0.0889,145,0.7333,0.6491,0.8409,0.5286,150,0.0299,0.4923
xai_grok_4_1_fast_non_reasoning_latest,0.4207,0.4750,0.3304,0.8444,145,0.7467,0.7164,0.7500,0.6857,150,0.3260,0.2414
